gstreamer1.0-plugins-good aarch64 1.16.3
gstreamer1.0-plugins-good-alaw aarch64 1.16.3
gstreamer1.0-plugins-good-alpha aarch64 1.16.3
gstreamer1.0-plugins-good-alphacolor aarch64 1.16.3
gstreamer1.0-plugins-good-apetag aarch64 1.16.3
gstreamer1.0-plugins-good-audiofx aarch64 1.16.3
gstreamer1.0-plugins-good-audioparsers aarch64 1.16.3
gstreamer1.0-plugins-good-auparse aarch64 1.16.3
gstreamer1.0-plugins-good-autodetect aarch64 1.16.3
gstreamer1.0-plugins-good-avi aarch64 1.16.3
gstreamer1.0-plugins-good-cairo aarch64 1.16.3
gstreamer1.0-plugins-good-cutter aarch64 1.16.3
gstreamer1.0-plugins-good-debug aarch64 1.16.3
gstreamer1.0-plugins-good-deinterlace aarch64 1.16.3
gstreamer1.0-plugins-good-dtmf aarch64 1.16.3
gstreamer1.0-plugins-good-effectv aarch64 1.16.3
gstreamer1.0-plugins-good-equalizer aarch64 1.16.3
gstreamer1.0-plugins-good-flac aarch64 1.16.3
gstreamer1.0-plugins-good-flv aarch64 1.16.3
gstreamer1.0-plugins-good-flxdec aarch64 1.16.3
gstreamer1.0-plugins-good-gdkpixbuf aarch64 1.16.3
gstreamer1.0-plugins-good-goom aarch64 1.16.3
gstreamer1.0-plugins-good-goom2k1 aarch64 1.16.3
gstreamer1.0-plugins-good-icydemux aarch64 1.16.3
gstreamer1.0-plugins-good-id3demux aarch64 1.16.3
gstreamer1.0-plugins-good-imagefreeze aarch64 1.16.3
gstreamer1.0-plugins-good-interleave aarch64 1.16.3
gstreamer1.0-plugins-good-isomp4 aarch64 1.16.3
gstreamer1.0-plugins-good-jpeg aarch64 1.16.3
gstreamer1.0-plugins-good-lame aarch64 1.16.3
gstreamer1.0-plugins-good-level aarch64 1.16.3
gstreamer1.0-plugins-good-matroska aarch64 1.16.3
gstreamer1.0-plugins-good-meta aarch64 1.16.3
gstreamer1.0-plugins-good-monoscope aarch64 1.16.3
gstreamer1.0-plugins-good-mpg123 aarch64 1.16.3
gstreamer1.0-plugins-good-mulaw aarch64 1.16.3
gstreamer1.0-plugins-good-multifile aarch64 1.16.3
gstreamer1.0-plugins-good-multipart aarch64 1.16.3
gstreamer1.0-plugins-good-navigationtest aarch64 1.16.3
gstreamer1.0-plugins-good-ossaudio aarch64 1.16.3
gstreamer1.0-plugins-good-png aarch64 1.16.3
gstreamer1.0-plugins-good-pulseaudio aarch64 1.16.3
gstreamer1.0-plugins-good-replaygain aarch64 1.16.3
gstreamer1.0-plugins-good-rtp aarch64 1.16.3
gstreamer1.0-plugins-good-rtpmanager aarch64 1.16.3
gstreamer1.0-plugins-good-rtsp aarch64 1.16.3
gstreamer1.0-plugins-good-shapewipe aarch64 1.16.3
gstreamer1.0-plugins-good-smpte aarch64 1.16.3
gstreamer1.0-plugins-good-soup aarch64 1.16.3
gstreamer1.0-plugins-good-spectrum aarch64 1.16.3
gstreamer1.0-plugins-good-speex aarch64 1.16.3
gstreamer1.0-plugins-good-taglib aarch64 1.16.3
gstreamer1.0-plugins-good-udp aarch64 1.16.3
gstreamer1.0-plugins-good-video4linux2 aarch64 1.16.3
gstreamer1.0-plugins-good-videobox aarch64 1.16.3
gstreamer1.0-plugins-good-videocrop aarch64 1.16.3
gstreamer1.0-plugins-good-videofilter aarch64 1.16.3
gstreamer1.0-plugins-good-videomixer aarch64 1.16.3
gstreamer1.0-plugins-good-wavenc aarch64 1.16.3
gstreamer1.0-plugins-good-wavparse aarch64 1.16.3
gstreamer1.0-plugins-good-y4menc aarch64 1.16.3
gzip aarch64 1.10
hdparm aarch64 9.58
htop aarch64 2.2.0
hyp-trace aarch64 1.2
i2c-tools aarch64 4.1
init-ifupdown aarch64 1.0
initscripts aarch64 1.0
initscripts-dev aarch64 1.0
initscripts-functions aarch64 1.0
iontests aarch64 1.0
iozone3 aarch64 489
iperf3 aarch64 3.7
iproute2 aarch64 5.5.0
iproute2-dev aarch64 5.5.0
iptables aarch64 1.8.4
iptables-dev aarch64 1.8.4
iptables-module-ip6t-ah aarch64 1.8.4
iptables-module-ip6t-dnat aarch64 1.8.4
iptables-module-ip6t-dnpt aarch64 1.8.4
iptables-module-ip6t-dst aarch64 1.8.4
iptables-module-ip6t-eui64 aarch64 1.8.4
iptables-module-ip6t-frag aarch64 1.8.4
iptables-module-ip6t-hbh aarch64 1.8.4
iptables-module-ip6t-hl aarch64 1.8.4
iptables-module-ip6t-icmp6 aarch64 1.8.4
iptables-module-ip6t-ipv6header aarch64 1.8.4
iptables-module-ip6t-log aarch64 1.8.4
iptables-module-ip6t-masquerade aarch64 1.8.4
iptables-module-ip6t-mh aarch64 1.8.4
iptables-module-ip6t-netmap aarch64 1.8.4
iptables-module-ip6t-redirect aarch64 1.8.4
iptables-module-ip6t-reject aarch64 1.8.4
iptables-module-ip6t-rt aarch64 1.8.4
iptables-module-ip6t-snat aarch64 1.8.4
iptables-module-ip6t-snpt aarch64 1.8.4
iptables-module-ip6t-srh aarch64 1.8.4
iptables-module-ipt-ah aarch64 1.8.4
iptables-module-ipt-clusterip aarch64 1.8.4
iptables-module-ipt-dnat aarch64 1.8.4
iptables-module-ipt-ecn aarch64 1.8.4
iptables-module-ipt-icmp aarch64 1.8.4
iptables-module-ipt-log aarch64 1.8.4
iptables-module-ipt-masquerade aarch64 1.8.4
iptables-module-ipt-netmap aarch64 1.8.4
iptables-module-ipt-realm aarch64 1.8.4
iptables-module-ipt-redirect aarch64 1.8.4
iptables-module-ipt-reject aarch64 1.8.4
iptables-module-ipt-snat aarch64 1.8.4
iptables-module-ipt-ttl aarch64 1.8.4
iptables-module-ipt-ulog aarch64 1.8.4
iptables-module-xt-addrtype aarch64 1.8.4
iptables-module-xt-audit aarch64 1.8.4
iptables-module-xt-bpf aarch64 1.8.4
iptables-module-xt-cgroup aarch64 1.8.4
iptables-module-xt-checksum aarch64 1.8.4
iptables-module-xt-classify aarch64 1.8.4
iptables-module-xt-cluster aarch64 1.8.4
iptables-module-xt-comment aarch64 1.8.4
iptables-module-xt-connbytes aarch64 1.8.4
iptables-module-xt-connlimit aarch64 1.8.4
iptables-module-xt-connmark aarch64 1.8.4
iptables-module-xt-connsecmark aarch64 1.8.4
iptables-module-xt-conntrack aarch64 1.8.4
iptables-module-xt-cpu aarch64 1.8.4
iptables-module-xt-ct aarch64 1.8.4
iptables-module-xt-dccp aarch64 1.8.4
iptables-module-xt-devgroup aarch64 1.8.4
iptables-module-xt-dscp aarch64 1.8.4
iptables-module-xt-ecn aarch64 1.8.4
iptables-module-xt-esp aarch64 1.8.4
iptables-module-xt-hashlimit aarch64 1.8.4
iptables-module-xt-helper aarch64 1.8.4
iptables-module-xt-hmark aarch64 1.8.4
iptables-module-xt-idletimer aarch64 1.8.4
iptables-module-xt-ipcomp aarch64 1.8.4
iptables-module-xt-iprange aarch64 1.8.4
iptables-module-xt-ipvs aarch64 1.8.4
iptables-module-xt-led aarch64 1.8.4
iptables-module-xt-length aarch64 1.8.4
iptables-module-xt-limit aarch64 1.8.4
iptables-module-xt-mac aarch64 1.8.4
iptables-module-xt-mark aarch64 1.8.4
iptables-module-xt-multiport aarch64 1.8.4
